Protein A	Protein B	T	S	uncertainty
O95273	Q8N393	1	0.38277385	0.94503206
Q9GZM5	P13987	0	0.6717582	0.8819965
P62854	P61247	1	0.91876024	0.29855946
Q5T749	Q9BYD6	0	0.4290502	0.9798645
O15014	Q9C002	0	0.1663825	0.5547975
P41002	P40227	0	0.7079452	0.8270351
P41002	Q9GZR7	1	0.7509403	0.74811584
P39019	Q9NUD5	1	0.2877894	0.81986666
P63220	P82921	1	0.45794195	0.99292445
O95793	Q9NZB2	1	0.6408382	0.9206584
Q8IY21	Q13952	1	0.21400025	0.67281663
Q9BQ83	O14867	1	0.5467825	0.99124557
P01106	Q9GZM5	0	0.24351127	0.73685414
P62424	Q96ME7	1	0.55335456	0.9886132
Q8TDU6	Q9NX76	1	0.7026851	0.835675
Q8WVZ9	P35269	0	0.627613	0.9348597
P49711	P62263	1	0.7266762	0.79447156
Q99459	O75376	1	0.56037474	0.9854196
P13501	Q9H9B4	0	0.5184598	0.99863696
Q9H0W5	Q10471	1	0.24741735	0.744808
P30876	P10244	0	0.25815332	0.76604074
Q9UMR3	O95786	0	0.55442023	0.98815376
Q9UGP8	O95402	0	0.34769252	0.90720975
P61081	P50990	1	0.3615511	0.9233276
Q04446	P13807	1	0.32447806	0.87676823
P54219	Q8TD22	1	0.9057333	0.341522
Q9Y6H6	P51790	1	0.689785	0.85592663
Q9NPI1	P48651	1	0.15272231	0.51759285
Q9Y2Y9	Q8IZD4	0	0.4542378	0.9916232
Q8N6T7	O60832	1	0.7119148	0.8203685
P19544	Q92793	1	0.83545375	0.5498831
Q96IF1	Q9H2C0	1	0.454519	0.99172586
O75478	Q9Y6J9	1	0.50656444	0.9998276
Q8N720	Q53FD0	1	0.3702821	0.93269306
P62805	Q96J42	0	0.3660022	0.92817837
Q9Y4X4	P54132	1	0.6455	0.91531897
Q92522	Q6EEV4	0	0.28456798	0.8143562
P54253	Q9NRX4	1	0.47275642	0.9970312
Q16581	Q92633	1	0.59400654	0.9646511
Q9H2F3	Q99459	0	0.32444745	0.8767252
P85037	Q5VUA4	0	0.69748473	0.84399915
Q7Z3K3	P53539	1	0.45845783	0.993097
P63220	Q96Q45	0	0.599983	0.9600136
P10176	Q9HD45	1	0.92801297	0.2672196
Q96LL9	P56556	1	0.8853956	0.40588096
P54259	O94761	0	0.35569444	0.91670364
Q99832	P62847	1	0.55368626	0.98847115
P49411	Q8IYB8	1	0.9505885	0.18787992
P23396	O95260	0	0.33426508	0.8901277
Q8TCT7	Q9BSR8	1	0.88710296	0.4006052
Q9C0K0	Q8NAF0	0	0.62126434	0.9411798
P04844	P62701	1	0.22809193	0.704264
Q9NR77	Q49AN0	0	0.77798647	0.69089407
Q9UJW3	P53539	1	0.5975146	0.9619636
Q04864	P61081	0	0.5199648	0.99840564
P63279	Q5VW36	0	0.28966436	0.82303566
P49368	Q9Y3D5	0	0.6262576	0.9362361
Q8IY34	P28222	0	0.44857603	0.9894223
P35244	Q8N8A6	1	0.70325804	0.8347447
Q9UBK5	O95427	1	0.85534704	0.49491394
Q9BUQ8	O75478	0	0.48182422	0.99867857
P46098	P55011	1	0.77933663	0.6878842
P15374	Q13838	1	0.6955644	0.8470183
Q9BSJ5	Q9NP92	1	0.7013304	0.8378642
Q9H4A6	P42166	0	0.5234184	0.9978063
Q8TCC3	Q9H0U6	1	0.97705984	0.08965563
Q96C86	Q8IX18	0	0.39136052	0.95278984
O14545	Q92785	0	0.5481006	0.9907453
Q9BQC6	Q96DT0	0	0.5470773	0.99113494
Q13162	P00491	0	0.7543384	0.74124795
Q99081	P49411	0	0.18740766	0.6091441
Q12906	Q16540	1	0.38417152	0.9463351
P35268	Q96MX3	1	0.52088	0.9982561
Q96JM3	A2RUB6	0	0.37738237	0.9398596
Q99757	Q9Y6V7	0	0.6970594	0.84467036
Q12857	O95785	1	0.57842577	0.9753976
P26373	Q9BUE0	0	0.41965726	0.9741802
Q9UHB6	Q9HC78	1	0.39090562	0.95239365
P62805	Q9BZS1	0	0.36379337	0.925791
P25490	O60216	1	0.5379167	0.9942493
Q9Y5Y3	P57678	1	0.7273847	0.7931848
Q6NUN9	P27540	0	0.44711104	0.9888111
Q9UJP4	Q9H1C4	0	0.5516235	0.98934007
O43474	P61247	1	0.57543075	0.9772408
Q6P1N9	Q9UNZ2	1	0.5563576	0.98729527
P10242	Q9H582	1	0.63927734	0.92240727
P47900	Q9HD45	1	0.82210314	0.58499825
Q99750	Q03989	1	0.28067818	0.8075918
Q69YH5	O00175	0	0.3023539	0.8437441
O00303	Q5THK1	0	0.22236738	0.6916805
Q8NBS3	O75953	0	0.22356124	0.69432646
Q96ME7	O00488	1	0.83367103	0.55465454
Q9H2S9	Q9Y6H6	0	0.15108867	0.5130435
O94955	P46782	0	0.64596504	0.9147768
Q9NVM6	Q99459	1	0.7319542	0.78478897
P41231	O95786	0	0.5164008	0.9989241
Q9GZM5	O43759	1	0.9342516	0.24570216
Q9Y2U9	Q96EU7	0	0.32231227	0.8737083
P24522	O95994	0	0.55063826	0.98974305
Q14145	Q12950	0	0.48142433	0.9986198
Q96N21	Q9BUE6	1	0.38449517	0.9466346
P18621	P23396	1	0.7990695	0.6422297
O14978	O75569	0	0.46252027	0.9943811
Q5T9L3	Q8N6T7	0	0.52638084	0.9972162
Q9Y6V7	Q6P1X6	0	0.79691136	0.6473746
P10176	P55011	1	0.81848836	0.59426063
Q9BTC0	O75586	0	0.54011196	0.9935641
Q8WWI5	Q08722	0	0.8510164	0.50714993
O15239	Q16795	1	0.7423702	0.76502675
Q9NYV6	Q9H9Y6	1	0.3905065	0.9520447
Q9UBB9	Q99757	1	0.50366676	0.99994624
Q9Y2G8	Q9Y320	0	0.8053601	0.6270209
Q7L2E3	Q9Y258	0	0.30134982	0.8421524
Q86YP4	Q02446	0	0.4001202	0.9600961
Q13838	Q8NEW0	0	0.12831658	0.44740576
P63173	Q96EL3	1	0.4999318	1.0
O15432	P03886	1	0.6351718	0.9269144
P41231	P35659	0	0.28367636	0.81281626
P58012	Q8WXX5	1	0.4512044	0.9904759
Q9H0W5	Q9ULU4	0	0.42598593	0.97808766
P49450	Q9Y4E5	1	0.8030691	0.63259643
Q92905	Q8IXM6	0	0.41653323	0.9721332
Q9BX68	Q9Y3D3	1	0.3596356	0.92119133
Q99750	Q9UL40	0	0.4209661	0.97501457
Q9Y6B2	O43290	0	0.7692848	0.7099428
P09001	Q9NRX2	1	0.8282436	0.5690245
P01106	O00716	1	0.5921176	0.96605736
P47804	P06307	1	0.9085779	0.33225635
P10809	Q9HC38	1	0.7551564	0.73958087
O00155	P82921	0	0.34653738	0.90579695
Q9NY35	P35244	0	0.2837623	0.812965
Q15102	Q15047	1	0.50176275	0.99998754
Q9BUM1	Q12905	0	0.62943727	0.932984
Q96S59	Q9NRX2	0	0.3106186	0.8565387
Q2WGJ6	Q9Y3C8	0	0.41586602	0.9716859
Q02363	P15172	1	0.5147139	0.999134
O94761	Q96B54	0	0.4258527	0.97800875
P10244	Q8WUU5	1	0.71586776	0.8136045
P15923	P08047	0	0.20281863	0.6467329
Q86UK7	O75909	0	0.60981137	0.95176584
Q92611	Q9UBS3	1	0.44296813	0.98698944
Q96C86	P49715	1	0.22579487	0.69924617
P25440	Q96P70	0	0.51889694	0.99857163
Q8N5A5	Q6IQ32	0	0.57857114	0.97530633
Q9NWM3	P78347	0	0.39082274	0.95232123
P60201	P04920	0	0.80186546	0.63550895
Q9NUH8	Q92620	1	0.30165824	0.8426421
Q9GZT9	Q9Y2X9	1	0.47909734	0.9982523
P05388	P0CG08	0	0.27404588	0.79577893
Q8N567	Q9H0W5	0	0.6656464	0.89024514
Q9NS73	Q86TJ2	1	0.37706673	0.9395496
P02724	O60220	0	0.8095446	0.6167285
Q8IWL3	Q92791	1	0.8034731	0.6316163
O60885	P13501	0	0.42917323	0.9799343
Q96NC0	Q8IY34	0	0.014799139	0.0583205
Q9NRC8	Q96EB6	1	0.60014075	0.9598873
Q8NCK7	Q8NBB4	0	0.16251062	0.5444037
Q8IX07	Q13330	1	0.6557856	0.90292335
P13667	Q5JXX7	0	0.45549598	0.99207765
Q96NT0	P01106	0	0.35278997	0.9133168
Q9Y5T4	Q96EB6	0	0.52078736	0.9982715
P62888	Q09161	0	0.5046868	0.99991214
Q8N6T7	Q92620	1	0.7390875	0.77134866
Q96S59	O14639	1	0.5828564	0.97253925
P54132	Q9HCE3	0	0.5711625	0.9797436
P61313	Q9UBL3	1	0.3094587	0.854776
Q5SSJ5	P26373	1	0.91746366	0.30289638
Q14494	Q9H8M2	1	0.4655654	0.99525696
P20382	O43286	1	0.86102223	0.4786518
P35372	P27449	1	0.8814299	0.4180449
O43741	Q32P28	0	0.48870206	0.9994894
Q9BUQ8	O95182	0	0.2533692	0.756693
Q8IWL3	O75879	1	0.84528685	0.52310795
P01100	P56385	1	0.27671292	0.80057156
P17900	Q8IW40	0	0.46274123	0.99444705
Q9NX58	O95793	1	0.38763785	0.949499
Q8N6F1	P57678	0	0.33398256	0.8897528
Q15477	P42766	0	0.6997363	0.8404216
Q8NBS9	P48643	0	0.8303962	0.5633535
Q14296	Q7L5L3	1	0.4360238	0.98362815
Q71U36	Q9Y5K5	0	0.668007	0.88709456
P55317	P18850	0	0.5532509	0.98865736
P13667	P02786	1	0.66757166	0.8876789
P13500	Q14094	0	0.46398944	0.99481297
Q92583	Q12830	0	0.17402339	0.574957
O14842	Q9NVH1	1	0.8548158	0.49642304
P63279	P78563	1	0.5383003	0.99413234
Q16718	O43889	0	0.355781	0.91680354
P05388	Q96K58	1	0.3119653	0.85857177
P62750	Q13520	0	0.19186082	0.620201
P47992	O00175	1	0.61129296	0.9504555
Q9BUQ8	Q9NVU7	1	0.8742633	0.43970796
O15446	O75569	0	0.42388722	0.9768273
P55316	Q15738	1	0.50836325	0.9997202
Q03403	Q96LT7	0	0.60427594	0.95650613
Q9HAF1	Q969R5	1	0.5936071	0.9649508
Q58F21	Q8IX18	1	0.56677973	0.9821619
P25440	Q9NPR9	1	0.14114118	0.48488137
Q71U36	P78371	1	0.729994	0.788411
P46926	Q8N543	1	0.3806563	0.94302833
Q9GZR5	Q9H2F3	1	0.57996005	0.97442555
Q7Z4V5	O75306	0	0.48207876	0.9987153
P38919	P16152	0	0.7399605	0.76967585
Q9HBE1	O14497	0	0.7609709	0.7275768
Q9ULD5	Q9Y573	1	0.42953548	0.98013896
P50991	Q96GQ7	0	0.44443172	0.98764867
Q8TBP5	O75879	1	0.64406896	0.9169766
O15321	Q9H8E8	0	0.2618066	0.7730556
Q9UL40	O95167	0	0.17566395	0.5792245
Q96FW1	P13501	0	0.46558934	0.99526364
P16035	P47914	1	0.22152735	0.68981194
Q8TDT2	Q8N5M9	1	0.8758029	0.43508878
Q9Y3S2	Q92793	0	0.628636	0.9338111
O14957	P0C7T5	0	0.39319065	0.9543671
P55317	Q86WX3	1	0.6036422	0.95703316
P01106	Q96HR3	1	0.5168936	0.9988584
Q96HC4	O95622	0	0.24726732	0.7445048
Q8N680	O75376	0	0.64998174	0.9100219
Q9Y2G8	P13667	1	0.8094519	0.61695814
Q9Y320	Q13887	0	0.112405375	0.39908162
Q9H0E9	Q6PHW0	1	0.42738158	0.9789063
P42766	Q96EL2	1	0.9367584	0.2369684
Q9BSJ5	Q16718	1	0.56869346	0.9811248
P85037	P51610	1	0.5753863	0.9772676
Q9HCE5	P08195	1	0.17017213	0.5648543
Q9BTC0	Q6ZQN7	0	0.08058483	0.29636368
P61244	P63208	1	0.398197	0.9585446
P0DPB6	Q9Y2Y1	1	0.46722698	0.9957037
Q9Y385	P01308	0	0.35032433	0.91038877
Q15084	Q9BVG9	0	0.86197716	0.47589013
Q9UBW7	Q13485	1	0.47567096	0.99763244
P83876	O14530	0	0.37844855	0.940901
Q9Y5Y0	Q8N895	0	0.137141	0.47333342
Q99543	Q13404	0	0.11996929	0.42230663
P14854	Q9Y3E5	1	0.46100968	0.993919
Q8IW40	P09668	1	0.21311845	0.6707959
Q9H320	P57086	0	0.36185268	0.9236613
P49642	Q9NXA8	0	0.67594165	0.87617815
P21675	P54259	1	0.5243241	0.99763334
Q8IXB1	Q9NYU2	1	0.8766927	0.4324104
P09622	P49327	1	0.7504096	0.74918014
Q9C002	Q14435	0	0.6891221	0.8569313
Q9NRC8	Q86XP3	1	0.7629673	0.72339284
O75251	P09669	1	0.9692637	0.11916642
Q13485	Q13520	0	0.46525964	0.9951724
Q969J2	P10073	1	0.6095556	0.9519903
P55201	Q9NVU7	0	0.83370817	0.5545554
P02730	Q8TD20	0	0.10175582	0.3656063
Q8IXH7	P09669	1	0.65636945	0.9021944
Q99081	Q99598	1	0.28909224	0.8220717
O94830	Q86YP4	0	0.2900792	0.82373303
P62805	P40429	1	0.8767292	0.43230048
P40227	Q9UBL3	0	0.25948852	0.7686169
Q15008	P01106	0	0.29391518	0.8301162
P0CG08	Q9UGP8	0	0.7465216	0.7569084
P41002	Q96GQ7	1	0.8138514	0.60598916
Q13126	P02775	0	0.40478942	0.96373975
Q9Y5K5	P78347	1	0.38947946	0.9511408
P50991	Q6IAA8	0	0.720409	0.80567956
Q8TAD4	Q5VYS8	0	0.19183904	0.6201473
O94761	P25440	0	0.5658597	0.98265004
Q13127	P35268	1	0.5841588	0.9716692
Q9BYC9	Q9H9B4	0	0.73286444	0.7830966
P46013	Q96T92	0	0.46262577	0.9944127
P48061	Q8N961	0	0.4754414	0.9975875
Q8TBB6	Q9UPQ8	1	0.8358431	0.54883766
Q9HAF1	P51161	0	0.6600743	0.89750487
Q969J2	O75593	0	0.4639685	0.9948069
A8MV65	Q92785	0	0.65957844	0.8981389
Q8IXM2	P46013	0	0.28177673	0.8095144
P29371	P01282	0	0.6567755	0.9016858
Q9Y320	P09466	1	0.37309906	0.93558455
Q9NYU2	Q92994	0	0.54209846	0.99291086
Q99081	Q02363	1	0.15699457	0.5293891
Q9UBB9	Q9NUA8	0	0.28514823	0.8153548
P15923	O75376	1	0.29922798	0.8387624
Q58F21	P67870	1	0.6194913	0.94288737
Q75WM6	Q96K58	1	0.8351025	0.55082524
P13667	Q13520	0	0.8411181	0.53455377
P10176	Q8TF68	1	0.119821675	0.42185777
Q96LT7	P62891	1	0.26228687	0.7739698
P62805	P49916	1	0.63575923	0.9262777
Q8IVS8	Q9P2G9	0	0.18617068	0.60604465
Q9NRF9	P18621	0	0.6508482	0.9089793
P46098	P0DPB6	0	0.5372976	0.99443555
P78371	Q9C0C9	0	0.25034818	0.7506958
Q13330	O43513	0	0.48428822	0.99901253
Q6IWH7	P54886	1	0.40823388	0.9663159
P25025	Q9Y6Q9	0	0.26053116	0.7706187
Q7Z6M1	Q9Y692	1	0.5211523	0.9982103
Q9H063	P62805	0	0.32771233	0.88126785
Q6ZN17	Q2TBE0	1	0.8032888	0.63206357
O95786	Q9H246	1	0.38392615	0.94610745
Q9UL63	Q13838	0	0.57693833	0.976322
Q9NW08	Q6P3S6	0	0.187103	0.60838187
Q75WM6	Q9Y3D5	1	0.780706	0.6848166
P46013	O94761	0	0.6011552	0.9590705
O95994	P05090	1	0.6384042	0.9233771
O43823	Q13129	0	0.4318489	0.98142177
P07199	O00585	0	0.33712727	0.8938899
Q8NB12	Q99750	1	0.42443976	0.97716254
P17542	Q9NXA8	1	0.2754793	0.7983618
Q71U36	O60884	1	0.36666867	0.928891
Q99814	O43298	0	0.50656635	0.9998275
Q8N6T7	P50990	1	0.62214345	0.9403239
P57678	Q9UHK0	1	0.6231293	0.9393567
Q8WVZ9	P42766	0	0.4932797	0.99981934
Q9H0R8	P05388	1	0.5389853	0.99392056
O94761	P55265	1	0.6568835	0.9015503
Q9C0K0	Q12830	1	0.5439634	0.99226886
Q6PK04	Q9UI14	0	0.07090432	0.2635076
P26373	Q9H6D3	0	0.030775234	0.11931247
Q8TCT7	Q8TB61	1	0.864633	0.46817103
Q96E35	Q9UHI6	0	0.49686915	0.9999608
Q58F21	Q8IXH7	1	0.3644593	0.9265149
O95994	Q13642	0	0.49445215	0.9998769
P82979	O95786	0	0.20711789	0.65688026
Q8TDD1	Q7L2E3	0	0.32982197	0.8841578
P41002	P07305	0	0.6375709	0.924297
Q9NQX0	Q9H8H0	0	0.6232018	0.9392853
P49711	Q15022	1	0.63057303	0.93180275
Q8TAD4	O43396	0	0.63988787	0.9217255
Q9UKX7	O75376	1	0.3251283	0.8776795
A8MW92	P62805	1	0.6478249	0.9125912
P51610	O14925	0	0.23109044	0.71075064
Q13127	Q9NR30	1	0.7193365	0.807566
Q96HH4	Q9Y6M5	1	0.55339813	0.98859453
Q7L2E3	O43615	1	0.5316905	0.9959828
Q99832	Q9UJT1	1	0.5472339	0.9910758
Q9UPP1	P21675	1	0.6835224	0.8652781
Q2TB10	P25398	0	0.47327185	0.99714243
Q9Y673	Q99707	0	0.681037	0.8689024
Q92905	Q5TAX3	1	0.51733	0.99879867
Q8IZU0	Q9ULD5	1	0.7145468	0.8158787
Q96K58	Q5TCM9	0	0.28282702	0.8113436
O94761	P82930	1	0.7325085	0.78375924
O60885	P15374	1	0.25185984	0.75370586
Q12906	P17040	0	0.4688072	0.996108
Q8IXK0	Q9NQ50	0	0.5240092	0.99769425
Q68CJ9	Q96EC8	1	0.22048691	0.68748975
Q14686	Q92633	0	0.020584479	0.080643035
O15342	P05090	1	0.76923877	0.71004194
P01106	O95562	0	0.19826362	0.63582057
Q92905	Q15477	0	0.5196062	0.9984624
P55769	O15498	0	0.52860886	0.99672616
Q66PJ3	Q9UBL3	0	0.6834128	0.865439
P24522	Q9BQ90	0	0.46062037	0.99379694
O75398	Q5T5X7	0	0.5215502	0.99814236
P49411	O95158	0	0.65755343	0.90070766
P49450	Q9P0M9	0	0.70648724	0.8294521
P54253	Q96MN9	1	0.37152123	0.93397284
O95600	Q8IWI9	1	0.68392545	0.8646857
Q9P0K8	P62851	0	0.48292923	0.9988344
Q16762	Q9Y5L4	1	0.44290388	0.9869601
Q9NXB0	P14854	0	0.30271584	0.8443158
Q6ZW61	P78371	1	0.56866956	0.981138
P57086	Q9NWS9	1	0.42031533	0.9746014
O15446	Q9NY93	1	0.6045249	0.9562982
P01308	Q9UHB6	1	0.5614355	0.9849027
Q9BQS6	Q9BUE6	1	0.53050584	0.9962776
O43934	P10606	0	0.5504382	0.98982394
O95786	Q49A26	0	0.49629298	0.9999451
P82979	P63279	1	0.1685034	0.56044
Q13127	Q12906	1	0.63117915	0.93116814
Q6NUN9	Q9UKD1	0	0.53901607	0.99391097
Q96IQ9	Q9NXF7	1	0.59455013	0.9642411
Q96HQ2	Q96JM3	1	0.35660344	0.9177497
Q9HD20	Q08462	0	0.37118638	0.9336282
Q96FI4	P29375	0	0.4004469	0.9603567
Q12952	Q99856	1	0.65811133	0.9000032
Q15532	Q68CP9	1	0.8187019	0.5937163
Q8WXI9	A0AVK6	0	0.64413077	0.9169053
O75251	O95139	1	0.98165727	0.07202511
Q674R7	Q9UHL9	1	0.1772746	0.5833933
Q9NWS0	A2A3N6	0	0.5481194	0.9907381
Q9UHL9	Q9NRY2	0	0.5790731	0.9749898
P82932	Q8IYB8	1	0.5327296	0.9957151
Q9BWJ5	P48552	0	0.44655937	0.9885764
Q12905	P10070	0	0.2577865	0.7653305
Q96KR1	O95711	0	0.0955067	0.34554067
P46013	O15372	1	0.35474843	0.9156079
Q9H1C4	O75947	1	0.38360822	0.9458118
O14880	O75879	1	0.5888426	0.968428
P38919	O60911	0	0.4793145	0.99828845
O43918	P14854	0	0.54885876	0.9904513
P15941	Q07325	1	0.059588183	0.22414972
P49023	Q8IZD4	1	0.6161079	0.94607586
P39019	Q96E52	0	0.5122631	0.99939847
Q9BPW9	O60885	0	0.1322322	0.4589874
P56192	Q8WYB5	0	0.18411385	0.60086375
Q9NP55	P32314	0	0.47790647	0.99804753
Q9GZZ1	Q9UQ35	0	0.50545627	0.9998809
P62851	Q5T653	0	0.90642136	0.3392867
P62805	Q9H2P0	1	0.65317625	0.90614814
Q7L5L3	Q9Y2X9	0	0.2454198	0.7407557
O75569	Q8IWI9	0	0.5678938	0.9815617
Q99437	Q68CP9	0	0.097835466	0.35305473
P82921	Q9NXE4	0	0.38762084	0.94948375
Q96Q45	P55316	0	0.07855287	0.2895293
Q9NUH8	Q8WVE7	0	0.9251951	0.2768365
P19447	Q96CS4	0	0.6512036	0.9085499
P49411	Q9NP92	1	0.9391237	0.22868153
Q03060	Q6ZRI6	0	0.6617286	0.89537543
Q53RY4	Q96B77	1	0.9052387	0.34312642
Q8N4Q1	P18583	1	0.6479513	0.9124417
P35610	Q7Z7N9	0	0.66131204	0.8959137
Q9H7N4	P19447	0	0.6911908	0.8537843
Q9H2C2	Q6Y288	0	0.7551326	0.7396294
Q92793	Q8WYA1	0	0.317396	0.8666231
Q9ULD9	O60884	0	0.4772183	0.99792403
Q8IVS2	Q15428	0	0.45579737	0.9921845
Q66K89	Q9H116	1	0.5511859	0.98952
O95947	P62899	0	0.29151997	0.8261443
Q9UGP8	P40429	0	0.5212429	0.99819493
O43513	Q9Y3C7	1	0.30806044	0.8526369
P18621	P62750	1	0.78915447	0.66555876
Q7Z2T5	P04554	0	0.34694326	0.9062945
O95365	Q9GZT9	0	0.44815174	0.9892471
Q9BYC9	Q93052	0	0.1059879	0.37901786
P17861	Q92522	1	0.1666034	0.55538684
P68036	Q13485	1	0.29144222	0.8260146
O43826	Q92830	0	0.1644196	0.5495432
P62701	Q9Y5Y3	0	0.034173626	0.13202316
P02786	P61619	1	0.7548694	0.74016637
Q15942	Q9NPI6	1	0.5019345	0.99998504
Q6ZN17	P35520	0	0.66941327	0.88519657
P35268	P62854	1	0.8708498	0.44988173
P54253	Q9NZI7	0	0.39688316	0.95746773
O75478	O75586	1	0.66988677	0.88455397
P01106	P48061	0	0.4024315	0.9619215
Q6PK04	Q9NWS8	0	0.1548582	0.52350855
O95994	Q9BUJ2	1	0.6030741	0.95750296
Q3B726	P05026	0	0.14775757	0.5037011
P62805	Q14191	1	0.5781482	0.97557145
Q6DKI1	Q969U7	0	0.38053554	0.942913
O95786	Q03169	1	0.42009085	0.9744581
Q9NZC7	P02786	1	0.4697159	0.9963315
O43676	Q8IV13	0	0.046589594	0.177676
Q9Y6A9	P35269	1	0.2317524	0.71217287
Q13542	O00303	1	0.4196849	0.9741979
Q15942	P62750	0	0.2785054	0.8037606
Q92793	Q9Y4E5	1	0.5830742	0.9723947
P01308	Q04656	0	0.7961251	0.64923966
P52739	Q8NDX5	1	0.4549635	0.99188685
Q9NXF7	Q7RTU4	0	0.76154894	0.7263686
P23769	O15090	1	0.74587387	0.75818413
Q12906	Q13206	1	0.5139474	0.99922186
Q99612	Q5T6C5	1	0.7027514	0.8355675
Q01658	Q6IBW4	0	0.33366284	0.88932776
Q9Y483	P25090	0	0.09431814	0.3416889
A8MW92	O94778	0	0.21368852	0.672103
Q9ULX9	Q16649	1	0.5392263	0.99384516
Q9ULD4	Q8WWK9	0	0.6407876	0.9207154
O43889	O94880	0	0.2693522	0.78720635
Q96EY1	O75251	1	0.84934235	0.5118397
Q9Y3B2	P18621	1	0.61517096	0.9469426
P41002	P51798	0	0.66146594	0.895715
P25490	P07737	0	0.40761486	0.96586
Q14241	Q8NBS9	0	0.17477962	0.5769268
Q15022	P62888	0	0.56862223	0.981164
A6NCF5	Q99832	1	0.5158368	0.9989968
Q9UMR3	Q92874	1	0.42242855	0.9759307
Q6NZY4	P49368	0	0.44719124	0.98884493
Q9BXP2	O95785	0	0.08629591	0.3153957
P35244	Q92841	1	0.7138911	0.8170024
Q5T4S7	Q49A26	0	0.24186283	0.7334608
Q9H0W5	Q9UPY3	1	0.47337648	0.9971647
Q53GQ0	Q9UBS4	0	0.33082983	0.88552576
Q9Y4X4	Q96JM7	1	0.65752596	0.9007423
Q9NX58	Q92794	0	0.46949825	0.9962785
P41227	Q13838	0	0.76101834	0.7274777
Q15853	O75444	1	0.555516	0.9876719
P78396	Q96HC4	0	0.59343773	0.9650776
Q5JX71	Q69YG0	1	0.8476965	0.51642865
O43927	P02775	1	0.6315749	0.93075216
P82930	Q96MF4	0	0.061439794	0.23065978
P49450	Q9UID6	0	0.78837824	0.66735196
Q96Q45	Q9NP55	1	0.5217702	0.9981042
Q14657	P54707	1	0.5818374	0.9732106
P51674	Q9NR77	1	0.9243395	0.27974406
O75151	Q969F8	0	0.08787113	0.32059917
Q5VUA4	Q86YP4	0	0.40543965	0.9642334
Q9UBQ6	O95169	0	0.8978601	0.36682934
Q8TED1	O75379	1	0.62919587	0.93323374
P55769	O60832	1	0.6924964	0.85178053
O43674	P17568	1	0.96931577	0.11897084
Q71U36	O60216	1	0.4811487	0.9985784
Q9NR33	P49281	0	0.39815313	0.95850885
Q8IVS8	Q9GZM5	0	0.45584676	0.9922019
Q9UHW9	P59991	0	0.3617353	0.9235315
O43914	Q9BYC9	0	0.39375317	0.95484644
Q02363	P47928	1	0.62665915	0.9358298
Q9HCE5	Q8N511	0	0.13496219	0.46698958
Q8N6T7	Q9NVU7	1	0.7526126	0.7447475
Q8IWI9	P61244	1	0.42501983	0.9775118
Q9NPJ1	P78371	1	0.55536526	0.9877387
Q9P0U4	Q9Y450	0	0.55035096	0.9898591
P49450	Q92905	0	0.7582271	0.73327506
Q92576	Q96GQ7	0	0.85961974	0.48269457
Q15008	O60885	0	0.25621143	0.76226854
P18850	Q9BSG5	0	0.41145152	0.9686367
A6NI15	P27540	0	0.5090611	0.9996716
P30876	Q96N77	0	0.2075963	0.6580003
Q9BUZ4	P63279	1	0.6209281	0.94150555
O43555	Q96P88	1	0.27514508	0.7977611
P08151	P62888	1	0.61676264	0.9454659
Q04864	Q9Y5P2	0	0.30514967	0.8481334
P51685	P15313	0	0.5853217	0.9708808
P46019	Q96MW1	1	0.41817465	0.9732185
Q5T653	Q9Y2T7	1	0.58679134	0.9698691
Q9H0U6	O00178	0	0.64350283	0.91762775
P10244	Q96KM6	1	0.7341296	0.7807333
Q8IX18	Q9H582	1	0.5346826	0.9951885
Q6NVU6	P09234	1	0.6388184	0.92291784
Q16763	Q9H1A4	1	0.5322303	0.99584484
Q9P0J7	Q8N490	0	0.41376892	0.97025687
Q9H0W5	Q08211	1	0.44745085	0.9889543
P04198	Q9UM22	0	0.19558364	0.6293227
Q9UJX4	O43583	0	0.35412303	0.9148797
Q53RY4	Q15800	1	0.9020811	0.35332325
Q9UIH9	Q96M94	0	0.44698048	0.9887557
O95786	Q9BY14	0	0.14318536	0.49073324
Q15084	P22234	0	0.8581507	0.48691225
Q99714	O95455	1	0.3370787	0.8938266
Q8WYB5	P30519	0	0.23341125	0.7157218
P62805	Q9UBB5	1	0.56777585	0.98162574
Q9BTE1	Q8N6Q3	0	0.2617139	0.77287894
Q99853	Q15738	1	0.47460535	0.9974205
P55317	Q96HH4	0	0.26465216	0.7784456
P15374	Q9NRX2	0	0.679033	0.87178874
Q9NY93	Q9UBS3	0	0.51821434	0.99867296
Q99459	P26196	1	0.4207096	0.97485214
Q9BZE0	Q7L2E3	0	0.5183355	0.99865526
P23396	P09001	1	0.64097214	0.92050743
P09234	Q15788	1	0.197622	0.6342702
O95445	O96005	1	0.85395724	0.4988571
Q8N653	Q9Y2K1	1	0.43158144	0.9812756
Q9NRC8	P62750	1	0.45772126	0.99285007
O00488	P62263	0	0.7812607	0.6835696
Q75WM6	Q8TCT7	0	0.6049344	0.9559551
Q96FW1	P35520	1	0.5136347	0.9992564
Q03989	O43290	0	0.7929355	0.6567552
P25090	Q96C86	0	0.7713866	0.7053972
Q15554	Q969J2	1	0.35288516	0.91342896
Q8IYD8	P57678	0	0.5766236	0.9765153
P01106	P62263	1	0.39644417	0.95710474
Q401N2	Q9Y5Y0	1	0.44149435	0.98630834
