Protein A	Protein B	T	S	uncertainty
Q6IWH7	P41002	0	0.34287786	0.90125054
Q8TED1	P41227	0	0.5141345	0.9992009
Q9Y6H6	P55011	1	0.79620785	0.6490437
Q96LC9	O14901	1	0.46872813	0.99608827
P63279	Q9Y221	0	0.30104384	0.84166574
Q14197	Q9H1E5	0	0.45472217	0.99179965
Q13206	Q99967	0	0.3248581	0.8773013
O94761	Q9Y5K5	1	0.38045073	0.9428319
O95968	Q7Z3K3	0	0.30692747	0.850892
O75683	Q969S3	1	0.8699329	0.45259863
O00214	P04844	0	0.40395755	0.9631034
Q96NC0	Q9NXA8	1	0.4004817	0.9603844
P32239	Q9NQ11	1	0.6596256	0.8980787
P78371	Q8IXQ5	0	0.5033386	0.9999554
P54259	P49069	0	0.19160968	0.61958164
Q9NX58	Q9NP55	0	0.11818768	0.41687742
Q13126	Q8N6F1	0	0.23958875	0.728744
Q92522	P62750	1	0.8117154	0.61133397
Q96IW7	Q96JA4	1	0.64715266	0.9133844
P49327	O95182	0	0.8227057	0.5834442
Q99750	P24385	0	0.40309277	0.962436
O95237	Q8TCC3	0	0.23985115	0.7292903
Q15554	P35414	0	0.18855394	0.6120054
Q16740	P56556	1	0.9064973	0.33903977
P49407	P49916	0	0.22679417	0.70143425
Q9BYC8	P62701	0	0.87298036	0.44354263
P28906	Q8TCN5	0	0.23404983	0.717082
Q9BUJ2	Q7Z7N9	1	0.20749746	0.657769
P49715	Q05516	1	0.5699005	0.9804557
P41002	P46063	0	0.51019484	0.99958426
Q86UK7	O75223	1	0.35585827	0.91689265
P23327	P50990	0	0.566439	0.98234344
P51800	Q15047	0	0.12029907	0.4233088
O95994	O14734	0	0.5936395	0.9649266
Q9UGI8	Q6NUN9	0	0.6362787	0.92571247
Q8IXV7	P03886	0	0.24812195	0.74622977
Q05639	Q99460	1	0.32415816	0.8763186
Q86SX6	O95786	0	0.26039618	0.77036005
Q9BXP5	Q13127	0	0.8311998	0.5612267
P16401	Q8N961	0	0.43238822	0.98171467
Q9BZS1	Q96RE7	1	0.6364064	0.92557317
Q9Y2U9	Q15369	1	0.65696806	0.90144414
O43290	Q6P1X6	0	0.558779	0.9861801
P15941	Q9BZW4	1	0.51366675	0.99925286
Q15041	Q8N1F7	0	0.5678809	0.9815687
P55769	P25490	1	0.425348	0.9777083
P42766	Q9NVU7	1	0.91314536	0.31724364
O15514	P36954	1	0.70994776	0.82368773
O95793	Q8WY98	0	0.19588241	0.63004994
Q9Y258	Q9Y6M7	1	0.48912954	0.99952734
O60266	Q9Y5P2	0	0.4852994	0.99913555
Q9BYV9	Q02930	1	0.65253633	0.9069307
Q9BZS1	P61081	0	0.42524064	0.97764415
Q9Y2Q3	Q9UI14	0	0.5274201	0.9969925
Q969Q0	P61313	1	0.7361625	0.7769091
P08151	Q6ZNB6	0	0.39200667	0.9533498
O95600	Q9BUJ2	1	0.81545913	0.6019421
Q58F21	P49848	1	0.71922356	0.8077641
P61313	P05388	1	0.715532	0.81418383
P54709	Q9NWT8	0	0.10219016	0.36698934
O14842	Q9GZM5	1	0.6364493	0.9255264
P61604	Q9Y5Y3	0	0.40586552	0.9645547
Q5TEC3	Q04941	0	0.106631435	0.3810447
P54132	P39748	1	0.7300397	0.7883269
Q9C0K0	P50990	0	0.29369128	0.82974684
Q14197	Q9UKX7	0	0.22583155	0.69932663
Q92905	Q9H8H0	0	0.63898957	0.9227276
Q6IWH7	P0C7P0	1	0.38589606	0.9479211
P62750	P09234	0	0.5684322	0.9812681
Q5VW38	P43119	0	0.6847914	0.86340857
Q96KC8	Q04941	1	0.39228243	0.9535877
O75586	P01100	0	0.5727153	0.97884995
Q9Y3E0	Q9BWH2	1	0.87122935	0.4487551
Q8N1G0	Q6NUN9	0	0.8840947	0.409885
A0JLT2	P10809	1	0.3253931	0.8780498
Q9UI95	P24385	0	0.6607951	0.89657974
O15119	Q08211	1	0.7002388	0.83961767
P07199	Q9P086	0	0.48246226	0.99876964
Q9BYC8	Q15022	0	0.32179886	0.87297744
P35268	O00746	0	0.6135813	0.94839716
Q9Y468	Q9ULX6	1	0.5720613	0.9792287
Q13304	Q13404	0	0.69835526	0.8426208
Q9NWS0	Q13520	0	0.311521	0.85790265
Q9NWH2	Q6ZSS7	1	0.6226021	0.9398749
P41595	Q9Y468	0	0.27120793	0.79061675
P86480	O15119	1	0.77412987	0.6994113
Q9NQ11	Q9NWT8	0	0.27576578	0.79887605
P78347	P85037	0	0.6652523	0.8907667
P54219	Q9ULL0	0	0.2187188	0.68352354
Q8N4Q1	P62899	0	0.5368322	0.99457353
Q5JXX7	P27449	1	0.74560577	0.7587112
Q401N2	Q9H2L4	0	0.60453016	0.95629376
Q9HC97	O75947	1	0.18880571	0.61263245
P55773	O00574	1	0.6207092	0.94171715
Q12906	Q16650	0	0.688721	0.8575375
O75362	Q96KM6	0	0.8211835	0.5873646
Q9HCE5	P38117	1	0.47066638	0.99655807
Q92793	Q12906	0	0.7653746	0.7183053
O75151	Q92993	0	0.6857499	0.8619879
Q9UF47	P51809	1	0.716593	0.81234986
Q6IBW4	Q53EQ6	1	0.6944603	0.8487408
Q9UKX7	Q9UH92	0	0.4005587	0.9604457
Q9UI26	O95251	0	0.404762	0.96371883
Q8TF50	O95711	0	0.22200443	0.69087386
Q96EY1	Q9UI09	1	0.8688508	0.45579627
P30086	P61604	1	0.6449556	0.91595155
Q92793	P37108	0	0.705847	0.830508
P60201	Q9Y5U9	1	0.8957671	0.37347364
P17040	P47929	1	0.29504234	0.83196944
Q8TBP5	P25090	0	0.82225	0.5846197
P01106	Q01831	1	0.67910826	0.8716809
Q9BV40	O95273	0	0.58992124	0.9676567
P63279	P31153	1	0.54182297	0.99300337
Q9Y6E7	P10809	1	0.64291894	0.9182967
O95947	Q5JX71	0	0.2661635	0.781282
O95786	O95881	1	0.31354398	0.8609366
Q9ULD4	Q9GZR7	1	0.6811863	0.8686861
Q9H0U6	P00156	1	0.652163	0.90738565
Q9NUL7	P82930	1	0.5210393	0.9982294
Q969K7	P62750	0	0.16596541	0.5536835
Q8IW45	Q9UL63	1	0.34892982	0.9087112
Q9NUH8	Q14202	0	0.21593681	0.67723244
Q9Y2G8	Q8N5K1	1	0.8597371	0.48235688
Q92905	Q9UKX7	0	0.51833344	0.99865556
Q99598	O14901	1	0.6953622	0.84733444
P37840	Q9BZW4	0	0.6850417	0.86303824
Q15596	Q9NR30	0	0.5277321	0.99692374
Q9H2F3	Q6IWH7	0	0.68719137	0.8598376
Q5T653	Q6PI26	0	0.29756868	0.8360862
Q96LL9	Q9H2P0	0	0.32524014	0.8778359
O95994	P49916	0	0.6545548	0.90445125
P78371	Q96FL8	0	0.72043324	0.80563676
Q8NCK7	Q9BXF3	1	0.08213455	0.30155388
Q8NCK7	Q8NFD5	1	0.21762753	0.6810631
Q96LL9	Q13838	0	0.54422736	0.99217576
Q9BQ95	Q969S6	0	0.52200603	0.9980629
O00487	P02724	0	0.21847473	0.6829741
O75569	P62847	1	0.37540463	0.937904
Q8NFT6	Q13404	1	0.3520577	0.9124523
Q8IWL3	Q9P0M9	1	0.8737346	0.4412898
P54219	P60201	1	0.8740479	0.44035274
P51659	Q08211	1	0.3897811	0.95140713
O43513	P14635	0	0.525478	0.9974035
P09382	Q96E52	0	0.37464476	0.9371443
Q6R327	P10809	0	0.2652985	0.7796608
P62495	P05198	1	0.85739833	0.48906574
Q9Y3I1	O43638	0	0.324247	0.87644356
P62805	P62263	1	0.70225966	0.8363641
Q9Y3D5	O95786	0	0.22374295	0.69472814
P01100	Q15828	1	0.32631978	0.8793407
Q13516	P15923	1	0.71776646	0.8103111
Q9NV56	Q8TF50	0	0.4529299	0.9911376
Q14592	Q9HBE1	1	0.7824476	0.6808935
Q96EY1	O15198	1	0.306148	0.8496856
O43615	O75352	0	0.87195337	0.44660276
Q9BY14	P20142	1	0.7770113	0.693059
P35372	Q8N653	0	0.30693915	0.85091007
Q8IWL3	O43615	1	0.8390534	0.5401712
Q8NBB4	P25440	0	0.551406	0.98942965
A6H8Y1	Q96DE5	0	0.5053668	0.9998848
P01275	P15018	0	0.7975141	0.6459415
Q03060	Q9NR09	0	0.53005636	0.99638647
Q9NTW7	Q13162	0	0.43431795	0.98274344
P43115	Q7Z4Q2	1	0.36829227	0.9306123
Q9ULD4	P46013	0	0.7154724	0.8142866
P23769	Q99856	1	0.6301197	0.9322755
Q12857	Q9UIY3	0	0.6701399	0.88420963
P63279	P00156	0	0.38905457	0.9507645
Q8NCK7	Q68CQ7	1	0.7843246	0.6766381
P39748	Q7L775	0	0.6581666	0.89993334
Q13485	Q7Z3K3	0	0.46782452	0.99585897
P49789	Q6IE81	0	0.24634092	0.7426283
Q9H0R8	P39019	1	0.47860634	0.99816924
O43741	Q99750	1	0.73575866	0.7776714
O95273	P35869	0	0.5824332	0.97281903
Q6PK04	Q8N3Z6	1	0.8855499	0.4054051
P52747	Q9H2F3	0	0.38168183	0.9440033
Q99750	Q7Z4V0	1	0.20674612	0.65600866
Q9UPY3	P03905	0	0.2727518	0.793433
P62805	B0FP48	0	0.22064187	0.68783617
P52739	Q9HAZ2	0	0.76332253	0.722645
O60503	Q8N5K1	1	0.7085253	0.8260688
P40429	Q9UEG4	1	0.92044765	0.2928951
P82979	Q16540	0	0.6007762	0.95937663
O75569	O95600	0	0.5722388	0.9791262
P01100	Q9UHB6	1	0.5408786	0.99331576
P57739	Q07325	1	0.3191645	0.8691941
P42166	Q9Y2T5	0	0.17445143	0.5760725
Q15544	Q12962	1	0.56166244	0.984791
Q9UJW3	Q16718	0	0.323949	0.87602425
Q15788	P27540	1	0.7415362	0.7666411
O00585	P51685	1	0.5453014	0.9917911
P62805	Q969M7	0	0.3750732	0.9375732
P61619	P24864	0	0.18758364	0.6095841
Q86UK7	Q9H0R8	0	0.53968215	0.9937013
P20309	P54253	0	0.14764288	0.50337785
Q15022	Q8IX18	0	0.6598903	0.89774036
P62899	Q96ME7	1	0.9039019	0.3474531
P25490	Q9UBW7	1	0.7508225	0.74835235
Q9NR30	O94953	0	0.58779943	0.969165
P59991	Q9C086	1	0.49612808	0.99994004
Q4LE39	Q9NRC8	0	0.5077967	0.9997569
Q6P9B9	Q9Y3C7	0	0.68618727	0.8613372
O00624	Q96J42	1	0.49861223	0.9999923
Q8WVK2	Q16740	1	0.315421	0.8637223
Q17R98	Q12952	0	0.7484249	0.75314033
Q9BRJ6	O75575	0	0.65639335	0.90216446
Q9GZM5	O43676	1	0.82374114	0.5807667
Q9UIH9	P56645	0	0.6024037	0.95805395
Q8NCQ5	Q9NV56	0	0.40365422	0.96286994
P41002	Q7Z2E3	0	0.54351956	0.9924242
O00409	Q9NP55	1	0.17532983	0.57835716
P24522	Q8TDZ2	1	0.615178	0.94693613
Q96KC8	Q9Y385	1	0.494886	0.99989533
Q86UP8	Q9H832	1	0.53115135	0.99611837
O43676	P61081	0	0.34330904	0.90179175
P01106	Q9Y6J9	1	0.44981566	0.98992616
Q9BUQ8	Q9GZR7	1	0.894832	0.37643072
Q92890	Q96AN5	0	0.4796536	0.9983441
P21554	P52434	0	0.3835002	0.94571114
Q8TDT2	Q9UHJ9	1	0.80785334	0.6209053
Q6P1X6	P82930	1	0.58158153	0.9733778
Q13330	P61247	0	0.6067143	0.9544482
Q92905	P23396	1	0.7167918	0.8120052
P01106	O95139	0	0.18686473	0.6077852
Q9HD34	P04844	0	0.57267815	0.9788715
Q99612	Q9Y6J9	1	0.4701109	0.9964266
Q9Y5Q6	Q9UBX1	1	0.8699517	0.45254287
Q9H1C4	Q5T4S7	1	0.17318584	0.57277006
Q9NQG1	Q9NTW7	0	0.16323915	0.54636854
Q9NPD7	Q9UHW9	1	0.71667576	0.81220645
P09912	Q8IXF0	0	0.1867692	0.60754585
Q9NXE8	Q15047	0	0.8382765	0.542276
Q5SVZ6	Q96JB2	0	0.28322965	0.8120425
O60885	O95867	0	0.33345106	0.88904583
Q9NRC8	P09622	1	0.6218019	0.9406572
Q6QHK4	P41595	0	0.2123081	0.66893345
Q96LL9	O75438	1	0.7504802	0.74903876
P41002	Q53HV7	0	0.55911565	0.98602134
O43290	P0DI81	1	0.31663334	0.86550665
Q96JA4	P62805	0	0.34388635	0.90251404
P15336	O60885	0	0.7665168	0.71587515
O95793	Q96Q45	0	0.17299333	0.5722666
Q99459	Q6PK04	0	0.87823075	0.427766
O95786	Q68E01	0	0.52668697	0.9971512
O75909	Q9NWT8	0	0.25864604	0.7669931
Q8NCK7	Q5T3I0	1	0.0803654	0.2956272
Q13838	Q9UKX7	0	0.49896586	0.9999957
Q96FI4	Q8TDD1	1	0.73010623	0.7882045
O94761	Q9BUJ2	1	0.6312115	0.93113416
Q9H0W5	O43290	1	0.57937515	0.9747983
P0C5Z0	Q92793	0	0.37693307	0.9394181
Q9NQV5	Q9UIF9	0	0.5720209	0.979252
Q96PQ7	Q16795	0	0.36490825	0.92700094
Q9NP71	Q3KNW5	0	0.10201709	0.36643842
P07199	Q8TBM8	0	0.2589727	0.76762336
Q86WC4	P49789	0	0.63236547	0.9299175
O94761	P62701	1	0.6908322	0.85433227
Q05516	P63279	1	0.35624596	0.9173391
Q9Y3I1	O75478	0	0.28191394	0.8097539
P21675	Q8IZ40	1	0.54410076	0.9922205
Q9NPI1	P82930	0	0.75222206	0.74553615
P0DI81	Q8NAP3	1	0.28405857	0.8134772
Q9BS26	Q9NXE4	0	0.64641094	0.9142553
Q15084	Q8N3Y7	0	0.76965255	0.70915
Q9UPQ0	Q969J2	0	0.47484824	0.9974695
P02786	P38919	1	0.16930771	0.56257045
O43474	Q92618	1	0.8308976	0.56202704
Q92993	Q96IK5	1	0.42915344	0.97992307
P62633	Q6PK04	1	0.6930024	0.8510003
P62899	P62424	1	0.94037545	0.22427787
P50406	O43156	1	0.49878553	0.99999416
Q8N9N2	Q8NDX5	0	0.39929447	0.95943356
Q9NZB2	P09001	1	0.2631595	0.77562636
Q5T653	P82650	1	0.91801	0.30107057
P62502	P06744	0	0.60277617	0.95774823
Q96NC0	Q96QU8	1	0.36327	0.9252196
P08195	Q8N6G5	0	0.69549215	0.84713125
O95199	P30876	0	0.68343633	0.8654044
Q9NPQ8	Q9UHK0	0	0.33810717	0.8951628
Q92499	O14843	0	0.48382398	0.9989533
O95445	P49069	0	0.5837161	0.97196645
Q96MX3	Q9Y3I1	0	0.1793862	0.58882713
O14842	Q6ZNB6	1	0.37297183	0.9354554
Q99832	Q8IXV7	1	0.39684734	0.95743805
Q13520	Q9HD20	1	0.71290827	0.8186803
Q9Y6M5	Q8TCT9	0	0.8123772	0.6096819
Q8N1L9	P49715	1	0.752535	0.74490434
Q8N1L9	P18848	1	0.72547436	0.7966453
P48201	Q8N2G8	1	0.8485339	0.5140964
Q99750	O00746	0	0.30128232	0.8420452
Q16740	P61604	1	0.35820812	0.9195802
Q13951	Q8IWZ8	0	0.58681697	0.96985126
Q9Y6H6	Q9BPZ7	1	0.6539871	0.9051519
O15446	Q96L73	1	0.63505185	0.927044
O60885	O43741	0	0.30917323	0.85434055
Q8N0Z2	Q9NWN3	1	0.6797035	0.87082666
Q99814	Q92841	0	0.36946687	0.93184435
Q12905	Q9NPJ1	0	0.4067944	0.9652508
P17028	Q8WUP2	0	0.37276042	0.9352403
P54253	O00230	0	0.4015248	0.9612106
P78371	Q9BUK6	1	0.53741395	0.9944008
P20366	P29371	1	0.45178556	0.9907015
Q8IY34	Q9HD45	1	0.81906956	0.59277844
Q5THK1	Q8IW50	0	0.3935431	0.9546677
O95994	P48735	1	0.80699474	0.62301695
O00487	Q9BWH2	0	0.74238217	0.76500356
P62263	Q6PK04	1	0.67604506	0.87603253
Q9NRX2	P50991	0	0.5962662	0.9629313
Q16873	O95182	0	0.60259336	0.9578984
Q8TDT2	Q8WXI9	0	0.21786165	0.6815918
Q6ZN17	Q9NX24	1	0.5299145	0.9964205
O60884	Q8IZD6	0	0.77167636	0.7047678
Q96J42	Q9NVU7	1	0.19131199	0.61884683
P51608	P54253	0	0.63425934	0.9278977
Q71U36	Q96E35	1	0.38335446	0.9455753
Q9HC97	O95793	0	0.33371076	0.88939154
P17022	P57086	1	0.5480869	0.9907506
P55317	Q9NZC7	0	0.28356156	0.81261754
Q7Z7N9	Q7Z4Q2	0	0.27228838	0.79258966
Q92560	Q9BYP8	0	0.37168303	0.9341391
Q8N0S6	Q8IVM8	0	0.20087554	0.64209825
Q8TDT2	P49407	0	0.7644117	0.72034585
Q7Z7N9	P51798	1	0.8237521	0.5807383
Q9Y296	Q8N9M5	1	0.607218	0.95401716
Q15022	O60832	1	0.42794585	0.9792328
Q9NZC7	P10109	0	0.5255377	0.9973913
Q8IV31	O95183	1	0.6842414	0.8642204
P61073	O76082	1	0.7771078	0.6928451
Q9H1Y0	P17542	0	0.4676281	0.9958082
P55000	Q9UL63	1	0.5563465	0.9873003
P15313	O15321	1	0.40910432	0.96695185
O94761	Q96EB1	1	0.5829726	0.9724622
P02775	Q9NRJ3	1	0.66377807	0.892707
O43674	P03886	1	0.9184345	0.29965028
P54274	P63208	1	0.32761386	0.8811321
P50990	P40227	1	0.856522	0.49156818
Q8IY34	P57678	1	0.3136169	0.8610454
Q8NCK7	Q99460	1	0.43163875	0.981307
Q12905	Q9UJ42	0	0.4273761	0.97890306
P30040	Q9NVC3	1	0.53187287	0.99593645
P15923	Q9UIG0	1	0.57962114	0.9746419
P01106	Q8N9M1	1	0.55657464	0.9871972
P41002	Q96FI4	0	0.53822935	0.9941541
Q6N075	Q16594	0	0.15941957	0.5360199
Q9NR12	Q9P2G9	1	0.6022052	0.95821637
O15318	Q96SF2	0	0.36537343	0.92750275
P36021	Q8N5M9	1	0.83162105	0.5601099
Q9UKR5	Q96DV4	1	0.4369834	0.98411566
Q8N5W8	O43918	0	0.34925452	0.9091032
Q8NCK7	Q96EC8	0	0.77547854	0.6964463
Q14562	P37840	0	0.21255782	0.669508
P37840	O75643	1	0.3330187	0.888469
O14901	Q5T653	0	0.6782437	0.87291676
Q2QGD7	P54253	1	0.7694151	0.7096621
Q13123	Q00403	1	0.7605197	0.72851795
Q15102	Q7Z3K3	0	0.37229708	0.9347679
Q3SYG4	Q8TAM1	1	0.6023121	0.9581289
P49368	Q6ZN55	0	0.3472532	0.90667367
Q9H7F0	O95786	0	0.27737957	0.80176055
Q96HJ5	Q9UKR5	1	0.69305915	0.8509127
Q9P086	Q9Y5B8	1	0.50116354	0.9999946
P48061	P35659	0	0.5000884	0.99999994
Q16254	Q8IWI9	1	0.5079617	0.99974644
Q6PJQ5	Q96FF9	0	0.5000941	0.99999994
P61313	Q99459	0	0.68685144	0.86034614
Q9Y5P2	O75643	1	0.5499824	0.99000704
Q96LY2	P40692	1	0.4275541	0.9790063
Q13129	Q8IWL3	0	0.50527525	0.99988866
P63279	Q96EG3	1	0.47247759	0.9969701
P0C7P4	Q99853	0	0.17499058	0.5774755
O95994	Q96HE7	1	0.8035172	0.6315092
P62899	P63241	0	0.7686066	0.711402
Q8NCK7	Q4LE39	0	0.083004266	0.30445823
P05388	Q01469	0	0.6290834	0.9333499
P54274	P67870	1	0.553029	0.9887517
O95183	Q7Z478	1	0.19289064	0.6227354
Q9NP92	Q96E35	1	0.55115217	0.98953384
Q9H116	Q9HBE1	0	0.8240697	0.57991534
P62805	Q71U36	1	0.5072976	0.999787
P17542	O75081	1	0.6879928	0.8586348
P11168	Q92890	1	0.48760828	0.9993857
Q9HAS0	O60911	0	0.43043384	0.98064214
Q9NYU2	P10809	0	0.6598089	0.8978445
Q9GZR7	Q9Y618	0	0.5917903	0.96629816
Q9UGP5	Q9H7E9	0	0.87490004	0.43779984
Q2TBE0	Q9NV79	0	0.5804922	0.974084
Q8IWL3	Q8TB37	1	0.89930737	0.3622145
Q7L014	Q12874	1	0.8206687	0.58868635
P46013	O75643	1	0.63110334	0.93124765
P82930	Q92785	0	0.8316045	0.5601539
Q71U36	Q93063	0	0.41257977	0.9694308
Q9BVG9	Q9Y3I1	0	0.35153124	0.91182804
Q99814	Q9H944	1	0.4334491	0.9822839
Q12874	P48735	1	0.421882	0.9755903
Q6AHZ1	Q92830	0	0.6494568	0.9106507
Q96JM7	O75352	0	0.21687426	0.67935926
P29375	Q9H0E9	1	0.6155085	0.94663113
Q9H8H0	Q9HCE5	0	0.6402445	0.9213259
O95786	Q9NWM3	0	0.55735296	0.9868426
P30519	Q69YN2	0	0.35505936	0.9159688
Q8N2M8	Q9HC78	1	0.7474395	0.75509477
Q96C86	P13010	1	0.23939756	0.7283455
Q8NHZ7	Q9HCE5	0	0.5331264	0.99561054
Q9NWS0	Q9HCP6	0	0.5171824	0.99881905
P42766	Q9NUD5	1	0.71532136	0.8145468
O95994	Q5T1R4	1	0.3392912	0.89669067
P25440	Q16650	1	0.6632294	0.89342463
P62899	Q9Y2U9	0	0.46621934	0.99543554
Q86SF2	P20809	0	0.6918796	0.8527289
Q969J2	Q9NWS9	1	0.7582853	0.73315483
P35367	P34995	0	0.66981447	0.8846522
Q01201	Q9C0K0	0	0.4752418	0.99754816
P21731	Q5JX71	0	0.6196887	0.9426985
Q75WM6	Q9NUL7	1	0.53921545	0.9938486
P35269	Q96C55	0	0.7984439	0.6437249
Q9UGI8	Q9NR12	1	0.639404	0.9222661
Q6NUQ1	Q5T619	1	0.230974	0.71050006
Q9BZ95	Q2TBC4	0	0.36681813	0.9290504
P0C7P0	O75964	1	0.79238826	0.6580364
Q9Y468	P16615	1	0.24109845	0.73187995
P50990	P13501	0	0.44566417	0.9881905
Q96C86	Q13144	1	0.3168414	0.86581177
Q96FZ5	Q96FF9	0	0.1234086	0.43271565
Q9NR30	Q9UHW9	0	0.11861049	0.41816816
P38919	P25490	0	0.6169519	0.945289
Q9H0R8	Q9UJX4	0	0.44660345	0.9885953
Q96KC8	Q08380	1	0.48864865	0.9994846
Q9BPU9	Q9UPM9	1	0.82165676	0.5861477
O15432	P48735	0	0.310276	0.8560192
Q9NPI6	P54886	1	0.2887921	0.82156485
P54709	P54707	1	0.53711146	0.994491
Q92905	P13807	1	0.7064635	0.82949126
Q99726	P51608	0	0.12803735	0.44657516
O94953	O75343	0	0.4552056	0.9919739
Q15084	Q08380	0	0.5202218	0.9983643
Q96EB6	P63208	0	0.4676265	0.9958078
Q9P0K8	O75376	0	0.6287015	0.9337437
Q9NPC1	Q9NR48	0	0.1603678	0.5385999
Q9GZV8	O75081	1	0.70328104	0.83470726
O15432	Q13404	0	0.33195657	0.8870456
Q9NZC7	P23396	0	0.48261932	0.9987917
P62899	Q9Y2R4	1	0.880212	0.4217553
O60884	Q8N4S7	0	0.4499152	0.9899661
O95785	Q04837	0	0.36358836	0.9255675
Q99081	Q03188	0	0.47293234	0.99706936
Q53GT1	Q9Y573	1	0.7437368	0.76236945
Q9BXP5	P49916	0	0.41959277	0.97413874
Q15326	P47914	1	0.8632697	0.47214055
P25490	Q9ULM3	1	0.76580954	0.7173812
Q2TBC4	Q2NKJ3	1	0.5889551	0.96834797
O95793	O75343	1	0.45781583	0.99288195
Q9NV12	Q9NR09	0	0.15693228	0.52921814
Q13061	Q8N5Y8	0	0.6399258	0.92168313
Q8IWL3	Q96BW9	1	0.72267854	0.8016571
Q9Y5T4	O00746	1	0.5009439	0.9999964
P35414	Q96DT7	0	0.16601944	0.55382794
P17861	P09622	0	0.35895315	0.9204232
Q92905	Q9H7E9	1	0.752868	0.7442311
Q9BWX1	O95183	0	0.17207353	0.5698569
P18621	O00566	1	0.6732041	0.8800013
Q9H1C4	P30519	1	0.5551591	0.9878299
Q06432	Q9NZC7	0	0.54528195	0.99179816
Q96C86	Q08211	1	0.2598207	0.76925564
P46098	P51674	1	0.7161529	0.81311166
Q9NX04	Q9UIH9	1	0.47959262	0.99833417
Q9GZM5	P43351	0	0.16720848	0.5569992
Q8N4Q1	P35659	0	0.33270395	0.8880481
Q9BSJ5	P82650	1	0.48935172	0.9995464
P67870	Q86VK4	1	0.7152433	0.81468135
Q8N1F7	Q9GZM5	0	0.55215627	0.9891189
P61081	Q99832	1	0.35125577	0.91150063
Q9C002	Q13423	1	0.8570165	0.49015686
Q9UL40	Q9Y2T7	1	0.5733374	0.97848654
Q92905	Q6PJ61	1	0.34406042	0.9027314
Q9Y2Y6	P15941	1	0.21587364	0.67708886
Q9UGP8	Q9Y678	0	0.47223943	0.9969174
P0CG08	Q9C0K0	0	0.14747438	0.50290275
Q96EB6	Q8TDD1	0	0.5146646	0.9991398
P25490	Q9UJV9	0	0.6560697	0.902569
P28222	Q8TED1	1	0.6080858	0.95326984
Q9BTE3	Q9BRT9	1	0.67495954	0.8775566
Q8N6T7	O75381	1	0.32525057	0.87785053
Q0D2K3	P27449	0	0.51258683	0.9993663
O15235	Q8IYB8	1	0.9513766	0.1850366
P15172	Q9UHF7	1	0.5806088	0.9740089
Q9Y2R4	O14545	0	0.36311823	0.92505354
Q8TDZ2	Q9H0R8	0	0.5736011	0.9783315
Q9NRC8	Q96MW1	0	0.5121241	0.999412
O95182	P48382	1	0.5209124	0.99825066
P62805	Q8N0V3	0	0.6778943	0.87341446
P00491	Q9Y296	1	0.42966688	0.980213
Q8N0Z2	P08151	0	0.3856936	0.9477362
A2A3N6	O60216	1	0.43520898	0.9832085
P10606	P46782	0	0.34447038	0.9032422
P19634	O95561	0	0.17820947	0.5858034
O95994	Q12857	1	0.3195756	0.86978817
P24530	Q9NV70	1	0.5521733	0.9891118
P06454	Q8TBX8	0	0.25468585	0.75928384
Q99523	O95793	0	0.19386841	0.6251338
P09622	Q8TCC3	0	0.87833494	0.4274507
O00487	Q8IZU0	1	0.49893737	0.99999547
Q9H1C4	O95427	1	0.714	0.81681603
Q15562	Q9Y320	0	0.2477591	0.7454981
P15923	P78371	1	0.25202397	0.7540316
O60884	Q5BKZ1	0	0.26827437	0.78521293
Q9NWT8	Q6DN03	0	0.7011469	0.8381597
Q86Y78	P62750	0	0.5402117	0.99353206
Q02577	Q7RTS1	1	0.8345976	0.55217785
Q13642	Q9H0W5	0	0.5609634	0.9851339
Q9NWT8	Q8TAE8	1	0.9552909	0.17084074
P04080	P25490	0	0.34766462	0.9071758
Q9BXP5	Q8IX18	0	0.58675927	0.9698913
Q05639	Q7L0J3	0	0.44483653	0.987828
P35869	Q2TAP0	0	0.62778807	0.9346808
P16401	Q9ULD5	1	0.78280497	0.6800854
P28698	P17028	1	0.7454126	0.75909066
Q13304	P0CG08	1	0.7533626	0.74322957
P06746	P56385	0	0.55457735	0.98808527
O95786	Q8NCN5	1	0.2746801	0.79692376
O94761	Q8TB92	0	0.44112414	0.9861345
O60885	Q96HQ2	1	0.33901724	0.89633816
Q5JX71	P61604	0	0.42956364	0.9801549
O94761	P35268	1	0.6578374	0.90034944
Q15633	P55265	1	0.7677594	0.71321964
P62899	P25440	1	0.7864432	0.6718012
P62280	Q15853	0	0.5758967	0.97695875
Q92576	P04920	0	0.06025501	0.22649738
P17028	Q8NDZ0	0	0.7553135	0.73926
P10176	Q7Z7H8	1	0.88080853	0.41993946
Q9NY12	Q86U28	1	0.28860232	0.82124406
P15144	Q96NT0	1	0.28376362	0.8129673
O95183	Q96JJ7	1	0.6477505	0.91267914
Q8TAE8	P61247	1	0.43604076	0.98363686
Q9HCE5	Q8N6T7	0	0.7056923	0.83076274
Q9Y2K1	P18848	0	0.33083317	0.8855303
Q13951	O75695	1	0.42182222	0.975553
Q9H0R8	P48167	0	0.41452175	0.9707739
Q16594	P09960	0	0.40348873	0.96274227
Q99853	P01106	0	0.6857558	0.8619791
Q66K89	P56556	0	0.64728874	0.9132241
Q86T24	Q96KA5	1	0.12504122	0.43762362
Q13838	O60884	1	0.31883955	0.8687236
P42766	Q5T653	1	0.7573244	0.7351366
Q13562	P15923	1	0.6753368	0.87702805
